October,2016,Cavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2016,Cavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2016,Cavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2014,Clare,19,2,4,382,3,,37,8,4,3,2,11,1,1,180,6,,2,,,,,,35,33,17,,,,"2,544",20,1,,10,,365,18,,,3,8,46,26,,,,210,12,5,1,1,7,8,,6,22,41,80,646,27,64,16,,1,"17,992",,34
February,2014,Clare,20,2,4,439,3,,46,9,4,3,2,11,,1,170,6,,2,,,,,,36,37,20,,,,"2,605",21,1,,10,,376,16,,,3,8,47,26,,,,205,13,6,1,1,7,8,,6,21,38,87,626,26,63,16,,,"18,124",,38
March,2014,Clare,20,2,4,492,3,,51,11,5,4,2,11,,,172,7,,2,,,,,,36,44,25,,,,"2,709",24,2,,10,,385,18,,,3,8,50,28,,,,192,15,5,1,1,5,8,,6,17,34,94,578,23,52,14,,,"17,572",,43
April,2014,Clare,21,3,3,538,5,,55,12,5,4,1,11,,,174,7,,2,,,,,,38,47,26,,,,"2,718",24,2,,10,,395,17,,,3,7,48,29,,,,191,17,5,1,1,5,8,,5,17,31,104,516,23,49,14,,,"17,373",,50
May,2014,Clare,21,3,3,562,6,,60,12,5,4,1,11,,,170,7,,2,            -  ,,,,,41,51,26,,,,"2,680",26,2,            -  ,10,,398,17,,,3,6,47,29,,,,191,18,5,1,1,5,8,,5,17,30,107,473,23,46,12,,            -  ,"17,262",,54
June,2014,Clare,24,3,3,584,6,,63,13,6,4,1,11,,            -  ,164,7,,2,            -  ,,,,,41,53,27,,,,"2,645",26,2,            -  ,10,,405,17,,,3,7,48,29,,,,191,20,5,1,1,5,7,,5,17,29,109,432,3,23,43,13,,,"17,290",
July,2014,Clare,54,24,3,3,605,6,,65,13,6,4,1,4,,,156,5,,2,1,,1,,,43,54,29,,,,"2,602",24,2,,10,,397,15,,,3,7,47,30,,,,190,21,5,1,1,6,7,,6,15,26,69,377,18,38,13,,,"17,217",
August,2014,Clare,54,23,3,3,629,6,,66,13,6,4,1,4,,             -  ,151,4,,1,1,,1,,,43,56,29,,,,"2,591",26,2,             -  ,10,,408,16,,,2,7,44,31,,,,190,23,6,1,1,6,7,,7,12,24,79,347,14,37,13,,,"17,309",
September,2014,Clare,59,24,3,3,670,6,7,70,15,6,11,1,26,,,151,20,1,1,3,,            -  ,,,45,63,34,            -  ,,            -  ,"2,640",25,5,,10,            -  ,424,17,,,2,7,47,32,,            -  ,,191,24,12,1,,6,7,,44,14,27,349,356,16,42,13,            -  ,6,"17,567",            -  
October,2014,Clare,333,27,3,3,693,7,2,72,16,6,11,1,24,,,152,18,1,1,3,,1,,,45,65,35,,,,"2,635",25,5,,10,,419,16,,,2,7,44,33,,,,194,24,10,1,,6,7,,,43,14,30,354,331,14,40,,,12,
November,2014,Clare,4,"17,469",,359,,,31,3,3,706,7,2,75,16,6,10,1,24,,,,154,23,1,,1,3,,1,,,49,66,37,,,,"2,628",24,5,,10,,424,17,,,2,7,41,34,,,,197,24,10,1,,7,7,,4,45,15,28,352
December,2014,Clare,319,13,38,3,,,14,,4,"17,275",,375,,,31,3,3,756,7,2,81,17,8,10,1,25,,,,150,,21,1,,1,3,,1,1,,56,69,42,,,,"2,582",22,5,,10,,,433,18,,,2,6,40,34,,,,199,23,13
January,2014,Clare,1,,8,7,,26,49,13,24,350,265,9,31,15,5,,,16,,,3,"16,912",,418,,,,32,3,3,783,7,3,83,17,8,9,1,25,,,,147,,22,1,,1,3,,1,1,,57,70,43,,,,"2,596",21,5,,10,,,444
February,2015,Clare,17,14,,,2,6,39,35,,,,201,24,14,1,,7,7,,38,50,12,21,358,250,9,29,21,5,,,16,,,3,"16,914",,447,,,,31,2,3,803,7,3,88,17,8,9,1,29,,,,142,,25,1,,2,3,,1,1,
March,2015,Clare,61,73,45,,,,"2,603",21,4,,10,1,,451,16,46,,,2,6,42,31,,,,202,21,13,1,,7,7,,58,2,47,10,14,357,177,8,24,32,5,,,17,,,3,"16,370",,482,,,,33,2,4,851,7,3,92,20,8,10,1
April,2015,Clare,24,,,,130,,25,2,,2,3,,1,1,,65,74,46,,,,"2,544",22,4,,10,1,,449,15,55,,,1,7,44,30,,,,205,19,12,1,,6,9,,78,3,41,8,10,364,139,6,20,43,8,,,18,1,,,3,"15,986"
May,2015,Clare,,500,,,,32,2,4,848,7,3,95,21,8,10,,29,,,,129,,24,2,,2,3,,1,1,,67,78,48,,,,"2,517",23,4,,10,1,,444,15,126,12,,,1,7,43,27,,,,205,19,12,1,,6,9,,94,3
June,2015,Clare,40,8,9,352,129,6,19,50,9,,,19,1,,,3,,"15,833",,507,,,,32,2,3,861,8,3,100,22,8,11,,30,,,,130,,23,2,,2,3,,2,1,,73,82,48,,,,"2,524",24,5,,10,1,,451,14,,,1
July,2015,Clare,8,43,27,,,,213,20,11,1,,6,9,,112,3,41,7,10,358,124,6,19,65,10,,,20,1,,,3,,,"16,131",,526,,,,30,2,3,851,7,4,98,22,9,12,,33,,,,135,,21,2,,3,3,,2,1,,74
